SeqId	contrast	estimate	SE	df	lower.CL	upper.CL	p.value	Model	UniProt	EntrezGeneSymbol	is_diffexp	CI_Width
10462-14	EARLYOA - HEALTHY	-0.276951204192746	0.214041153693022	1784.39460021898	-0.779019351354202	0.225116942968709	0.398768883023132	133	Q9Y5Q6	INSL5	FALSE	1.00413629432291
10463-23	EARLYOA - HEALTHY	-0.175672271879525	0.188171656081624	1818.35906916	-0.617052430196194	0.265707886437143	0.61908381515565	46	P09923	ALPI	FALSE	0.882760316633337
10464-6	EARLYOA - HEALTHY	-0.183272594864604	0.212812528715218	1813.43957354539	-0.682452114162799	0.315906924433591	0.664867574777694	7	Q9H6X2	ANTXR1	FALSE	0.99835903859639
10472-53	EARLYOA - HEALTHY	-0.0117205822264657	0.203794653732679	1657.84822393595	-0.489784437164992	0.466343272712061	0.998178101763352	137	Q92956	TNFRSF14	FALSE	0.956127709877053
10473-2	EARLYOA - HEALTHY	0.0031367185095949	0.193100118548112	1827.53822570415	-0.449801897222695	0.456075334241884	0.999854532859947	15	Q03403	TFF2	FALSE	0.905877231464579
10479-18	EARLYOA - HEALTHY	-0.348720500743593	0.200264013712012	1194.79006045478	-0.81866615457599	0.121225153088803	0.190308163892122	10	P09238	MMP10	FALSE	0.939891307664793
10480-33	EARLYOA - HEALTHY	-0.105302027614507	0.177261694525472	1829.72074274398	-0.521089386577168	0.310485331348154	0.823332503869957	5	P13987	CD59	FALSE	0.831574717925323
10485-56	EARLYOA - HEALTHY	0.0963512647269605	0.236162040061845	1819.96080792403	-0.457595942208348	0.650298471662269	0.91234769531906	76	P43358	MAGEA4	FALSE	1.10789441387062
10490-3	EARLYOA - HEALTHY	-0.0246534262032896	0.193100118548113	1827.53822570415	-0.477592041935579	0.428285189529	0.991053910613951	15	P04843	RPN1	FALSE	0.905877231464579
10496-11	EARLYOA - HEALTHY	0.101503000324066	0.191212011078761	1831.60910584845	-0.347006027089607	0.550012027737739	0.856197514940935	2	A8K7I4	CLCA1	FALSE	0.897018054827346
